slNo,signal_id,platform_code,datetime,pumpStatus,inletTemp,ctdTemp,longitude,latitude
113,12612476-15ab-452b-8da8-d0f2654e71e9,FA,2020-03-05T01:53:03,1.0,4.998,5.555,11.2733,57.7996
114,c21cd488-e29d-4565-a54b-a020b0150225,FA,2020-03-05T01:54:03,1.0,5.025,5.591,11.2707,57.8052
115,1acf1139-d39d-4767-ac5b-6ad34378980a,FA,2020-03-05T01:55:03,1.0,4.96,5.589,11.267900000000001,57.8108
116,cf045a96-7f66-4ed8-9635-3aaaa257344a,FA,2020-03-05T01:56:03,1.0,4.884,5.602,11.2651,57.8163
117,1b9821a6-8c34-4be2-888b-3acc15e486ba,FA,2020-03-05T01:57:03,1.0,4.9030000000000005,5.584,11.2623,57.8219
118,36e7b863-bd6e-4a9f-a26c-bf19aa53e64d,FA,2020-03-05T01:58:03,1.0,4.99,5.567,11.2591,57.8274
119,e208cec7-806d-473a-99c5-0e1fe6793ff1,FA,2020-03-05T01:59:03,1.0,4.978,5.557,11.2559,57.8328
120,990346db-a4c8-48a8-ab01-f96aa654a8be,FA,2020-03-05T02:00:03,1.0,4.915,5.5760000000000005,11.2526,57.8383
121,55ee3837-dcb1-4d7f-a365-03b9a1a088b1,FA,2020-03-05T02:01:04,1.0,4.9,5.574,11.2492,57.8438
122,a0874c8d-a544-4176-95d7-939d57ffb6e0,FA,2020-03-05T02:02:04,1.0,4.899,5.557,11.246,57.8493
123,4b1353d6-bf76-4e1c-a7b1-ea8cdb5f3642,FA,2020-03-05T02:03:04,1.0,4.913,5.543,11.2427,57.8548
124,9fa026dd-8f56-469c-bb54-54350b0a5f7c,FA,2020-03-05T02:04:04,1.0,4.929,5.515,11.2392,57.8604
125,939bf4a9-e7ac-4cc4-8dc6-1ce65fe3ec47,FA,2020-03-05T02:05:04,1.0,4.947,5.513,11.2359,57.8659
126,6d486c80-29e8-46c9-aba4-afb344b9e1d9,FA,2020-03-05T02:06:04,1.0,4.946,5.519,11.2326,57.8715
127,e9e32608-5835-452d-82df-ea50088b97de,FA,2020-03-05T02:07:04,1.0,4.9510000000000005,5.53,11.2292,57.8771
128,7ae30b72-6ba6-4c49-814f-2da19f271b2f,FA,2020-03-05T02:08:04,1.0,4.924,5.55,11.2259,57.8827
129,bc91f8e9-425a-4e60-9951-90a4d2310223,FA,2020-03-05T02:09:05,1.0,4.926,5.548,11.2225,57.8884
130,82fb210b-f8e5-4af5-9e85-212a4d9961d5,FA,2020-03-05T02:10:05,1.0,4.934,5.537,11.2192,57.894
131,f5c5e0c4-0fbd-4718-af29-dfc8fd3a3311,FA,2020-03-05T02:11:05,1.0,5.039,5.537,11.2158,57.8997
132,49299c31-2d71-4b19-b275-5bf1e0144781,FA,2020-03-05T02:12:05,1.0,4.962,5.55,11.2122,57.9055
133,222121b3-eb54-420a-9739-176dfd79d86a,FA,2020-03-05T02:13:05,1.0,5.083,5.584,11.2087,57.9111
134,3439caa1-0976-4065-9d8a-cb0cdf61cf84,FA,2020-03-05T02:14:05,1.0,5.112,5.589,11.2052,57.9168
135,d11796c1-7f25-4e26-b325-10b1489c3302,FA,2020-03-05T02:15:05,1.0,5.198,5.634,11.2016,57.9225
136,e3b362fb-ba02-434a-8fb6-558be0f40b89,FA,2020-03-05T02:16:05,1.0,5.218,5.682,11.1979,57.9282
137,424b76bf-76ae-4b51-8ba5-fbcb2d9a4d61,FA,2020-03-05T02:17:05,1.0,5.21,5.72,11.1944,57.934
138,25271938-720e-473a-99d8-867c5bfe1c8b,FA,2020-03-05T02:18:06,1.0,5.24,5.752,11.1909,57.9398
139,3c9adc64-ca9a-4bf1-8844-060342ac7440,FA,2020-03-05T02:19:06,1.0,5.242,5.772,11.1872,57.9456
140,6355c365-2b6c-42af-8955-12205c801d02,FA,2020-03-05T02:20:06,1.0,5.246,5.793,11.1838,57.9515
141,8e0950f4-642c-4b8a-9d4e-e9d6773df8c4,FA,2020-03-05T02:21:06,1.0,5.277,5.802,11.1805,57.9574
142,0f497faf-1f8d-49fd-9a46-30a3cdca9088,FA,2020-03-05T02:22:06,1.0,5.293,5.819,11.1772,57.9632
143,935014b6-afbd-4091-9fb3-6dc3595f27a7,FA,2020-03-05T02:23:06,1.0,5.358,5.836,11.1739,57.969
144,bec1b390-16dc-40d5-bc28-513660d46e62,FA,2020-03-05T02:24:06,1.0,5.329,5.861,11.1706,57.9747
